folder,com_news_amount,com_title_list,ceo_news_amount,ceo_title_list,alpha_news_amount,alpha_news_sentiment_mean,date_global_quote,open_price,high_price,low_price,closing_price,volume,date_federal_funds_rate,federal_funds_rate,date_currency_exchange_rate,currency_exchange_rate,date_cpi,cpi,date_inflation,inflation,date_unenployment,unemployment,date_eps,eps,date_gdp,gdp,date_retail_sales,retail_sales,market_capitalization,ebitda,pe_ratio,peg_ratio,book_value,dividend_per_share,dividend_yield,eps,revenue_per_share_ttm,profit_margin,operating_margin_ttm,return_on_assets_ttm,return_on_equity_ttm,revenue_ttm,gross_profit_ttm,diluted_eps_ttm,quarterly_earnings_growth_yoy,quarterly_revenue_growth_yoy,analyst_target_price,trailing_pe,forward_pe,price_to_sales_ratio_ttm,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,week_high_52,week_low_52,day_moving_average_50,day_moving_average_200,shares_outstanding,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
20231126,1,"['Black Friday Sale Shoppers Spent Record $9.8 Billion Online In US: Report', 'Black Friday shoppers spent a record $9.8 billion online in the US, Adobe Analytics reported, offering a positive sign for retailers facing lacklustre sales forecasts for the holiday season.']",0,0,3,0.19625366666666666,2023-11-24,616.2600,619.4400,613.6000,619.4300,942673,2023-11-23,5.33,2023-11-27 10:11:02,149.29800000,2023-10-01,307.671,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-08-31,11.8,2023-07-01,5633.594,2023-10-01,608839.0,282026476000,1862000000,55.55,1.481,34.6,0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.15,0.26,0.103,565.31,55.55,22.22,8.89,10.99,9.13,22.68,1.324,624.38,318.6,549.88,462.86,455300000,2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,None,1850000000,19847000000,2036000000,None,15134000000,2334000000,12800000000,915000000,None,915000000,1043000000,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000,1347000000,463000000,3633000000,None,None,3633000000,2571000000,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,None,-27000000,None,27000000,None,67000000,None,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000
20240323,1,"['German police seized the darknet marketplace Nemesis Market', 'The German police seized the infrastructure of the darknet marketplace Nemesis Market disrupting its operation. An operation conducted by the Federal Criminal Police Office in Germany (BKA) and the Frankfurt cybercrime combating unit (ZIT) led to the seizure …']",0,0,0,0.0,2024-03-22,509.0700,511.5900,496.6700,499.5200,5413647,2024-03-21,5.33,2024-03-24 10:11:02,151.42900000,2024-02-01,310.326,2022-01-01,8.00279982052121,2024-02-01,3.9,2024-02-29,4.48,2023-10-01,5760.935,2024-02-01,555127.0,226055766000,2162000000,47.62,1.853,34.13,None,None,4.48,43.76,0.241,0.368,0.157,0.324,19936000000,15441000000,10.49,-0.498,0.113,621.87,47.62,27.78,11.34,14.62,11.2,31.24,1.294,638.25,331.89,577.99,552.04,452546000,2023-12-01,USD,29779000000,11084000000,7141000000,7842000000,None,2224000000,20205000000,2030000000,1731000000,14981000000,2176000000,12805000000,701000000,None,701000000,1018000000,1223000000,13261000000,8251000000,314000000,11900000000,0,73000000,1376000000,446000000,3634000000,None,None,3634000000,2027000000,376000000,16518000000,28129000000,33346000000,0,455000000,2023-12-01,USD,4414000000,5048000000,634000000,49000000,1743000000,1740000000,889000000,2671000000,None,-28000000,None,28000000,None,89000000,None,326000000,1808000000,325000000,28000000,1483000000,1483000000,1836000000,2162000000,1483000000
20231205,3,"['Naples Soap Company Reports Record Sales and Dramatic Increases Throughout the Thanksgiving Holiday Sales Weekend Shattering National Averages', 'Naples Soap Company   , Inc (OTCQB: NASO), a health and wellness brand that offers high-quality skin and hair care products throughout the United States, is pleased to report record sales and overall increases during Thanksgiving, Black Friday, and Cyb...', 'Content Service Platform Market Surges with a Striking 17.6% CAGR, Anticipated to Hit US$ 365.9 Billion by 2034 | Future Market Insights, Inc.', 'The global content services platforms market is being driven by several factors including digital transformation initiatives, remote work and collaboration, cloud adoption, customization and scalability and others. The global content services platforms market…', 'DEADLINE ALERT: Bernstein Liebhard LLP Reminds Adobe Inc. Investors of Upcoming Deadline', 'DEADLINE ALERT: Bernstein Liebhard LLP Reminds Adobe Inc. Investors of Upcoming Deadline ......']",0,0,8,0.185054625,2023-12-05,596.7700,602.7400,591.1700,602.2200,2577716,2023-12-04,5.33,2023-12-06 10:11:01,147.32300000,2023-10-01,307.671,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-11-30,11.8,2023-07-01,5640.366,2023-10-01,608839.0,275256181000,1862000000,54.32,2.273,34.6,0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.13,0.26,0.103,616.54,54.32,34.13,14.77,17.67,14.58,36.79,1.335,628.6,318.6,558.49,468.9,455300000,2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,None,1850000000,19847000000,2036000000,None,15134000000,2334000000,12800000000,915000000,None,915000000,1043000000,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000,1347000000,463000000,3633000000,None,None,3633000000,2571000000,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,None,-27000000,None,27000000,None,67000000,None,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000
20240121,2,"['Security Affairs newsletter Round 455 by Pierluigi Paganini – INTERNATIONAL EDITION', 'A new round of the weekly SecurityAffairs newsletter arrived! Every week the best security articles from Security Affairs are free for you in your email box. Enjoy a new round of the weekly SecurityAffairs newsletter, including the international press. Admin …', 'Canva Holders Are Said to Near Expanded $1.5 Billion Share Sale', '(Bloomberg) -- Australian software company Canva Inc. is close to completing a share sale that’s set to raise more than $1.5 billion, according to people...']",0,0,1,0.314051,2024-01-19,593.8100,612.0700,589.1300,611.5500,3755338,2024-01-18,5.33,2024-01-22 10:11:01,148.08100000,2023-12-01,306.746,2022-01-01,8.00279982052121,2023-12-01,3.7,2023-11-30,16.07,2023-07-01,5642.697,2023-12-01,675361.0,276420592000,2162000000,51.83,2.274,36.3,0,0.0115,16.07,42.46,0.28,0.345,0.146,0.355,19409000000,15441000000,11.8,0.278,0.116,649.19,51.83,34.13,14.24,16.73,14.05,35.03,1.33,633.89,318.6,599.59,508.09,452000000,2023-12-01,USD,29779000000,11084000000,7141000000,7842000000,None,2224000000,20205000000,2030000000,1731000000,14981000000,2176000000,12805000000,701000000,None,701000000,1018000000,1223000000,13261000000,8251000000,314000000,11900000000,0,73000000,1376000000,446000000,3634000000,None,None,3634000000,2027000000,376000000,16518000000,28129000000,33346000000,0,455000000,2023-12-01,USD,4414000000,5048000000,634000000,49000000,1743000000,1740000000,889000000,2671000000,None,-28000000,None,28000000,None,89000000,None,326000000,1808000000,325000000,28000000,1483000000,1483000000,1836000000,2162000000,1483000000
20231119,1,"['影音創作者福音，Adobe AI 音訊工具「Project Sound Lift」亮相', '對於影音創作者來說，音訊品質差是過去一直面臨的挑戰；無論是業餘愛好者還是專業電影製片人，都需要解決由風力干擾、麥克風位置不理想、人群噪音和其他聲音干擾所造成的音訊問題，其中任何一項的出現都可能導致影片無法使用。 Adobe 就在近期展示了其正在研發的最新技術「Project Sound Lift」，...']",0,0,2,0.0903375,2023-11-17,602.0700,605.0499,597.0200,602.6600,1969358,2023-11-16,5.33,2023-11-20 10:11:01,148.41500000,2023-10-01,307.671,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-08-31,11.8,2023-07-01,5633.594,2023-10-01,608839.0,274391089000,1862000000,54.05,1.481,34.6,0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.15,0.26,0.103,568.04,54.05,22.22,8.89,10.99,9.13,22.68,1.324,613.71,318.6,544.87,458.13,455300000,2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,None,1850000000,19847000000,2036000000,None,15134000000,2334000000,12800000000,915000000,None,915000000,1043000000,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000,1347000000,463000000,3633000000,None,None,3633000000,2571000000,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,None,-27000000,None,27000000,None,67000000,None,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000
20231121,2,"['Adobe Shareholder Action Reminder', 'Securities Litigation Partner James (Josh) Wilson Encourages Investors Who Suffered Losses In Adobe To Contact Him Directly To Discuss Their Options   If you purchased or acquired securities in Adobe between July 23, 2021 and September 15, 2022  and wo...', '[Removed]', '[Removed]']",0,0,7,0.19122299999999998,2023-11-21,610.6300,615.5650,607.0301,610.9900,1906155,2023-11-20,5.33,2023-11-22 10:11:02,149.09600000,2023-10-01,307.671,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-08-31,11.8,2023-07-01,5633.594,2023-10-01,608839.0,278962307000,1862000000,55.25,1.481,34.6,0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.09,0.26,0.103,564.69,55.25,22.22,8.89,10.99,9.13,22.68,1.324,615.57,318.6,544.87,458.13,455300000,2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,None,1850000000,19847000000,2036000000,None,15134000000,2334000000,12800000000,915000000,None,915000000,1043000000,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000,1347000000,463000000,3633000000,None,None,3633000000,2571000000,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,None,-27000000,None,27000000,None,67000000,None,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000
20240126,0,0,0,0,0,0.0,2024-01-26,620.7000,622.5000,613.0000,613.9300,2137831,2024-01-25,5.33,2024-01-29 06:28:01,147.94200000,2023-12-01,306.746,2022-01-01,8.00279982052121,2023-12-01,3.7,2023-11-30,16.07,2023-10-01,5769.95,2023-12-01,675361.0,277496365000,2162000000,51.81,2.285,36.3,0,0.0115,16.07,42.46,0.28,0.345,0.146,0.355,19409000000,15441000000,11.85,0.278,0.116,599.62,51.81,34.25,14.3,16.8,14.1,35.17,1.33,633.89,318.6,601.75,513.83,452000000,2023-12-01,USD,29779000000,11084000000,7141000000,7842000000,None,2224000000,20205000000,2030000000,1731000000,14981000000,2176000000,12805000000,701000000,None,701000000,1018000000,1223000000,13261000000,8251000000,314000000,11900000000,0,73000000,1376000000,446000000,3634000000,None,None,3634000000,2027000000,376000000,16518000000,28129000000,33346000000,0,455000000,2023-12-01,USD,4414000000,5048000000,634000000,49000000,1743000000,1740000000,889000000,2671000000,None,-28000000,None,28000000,None,89000000,None,326000000,1808000000,325000000,28000000,1483000000,1483000000,1836000000,2162000000,1483000000
20240325,2,"['StrelaStealer targeted over 100 organizations across the EU and US', 'Researchers reported that over 100 organizations in Europe and US were targeted by a wave of large-scale StrelaStealer campaigns Palo Alto Networks’ Unit42 spotted a wave of large-scale StrelaStealer campaigns impacting over 100 organizations across the EU an…', 'Amazonで、春のコンピュータ・IT書フェアが開催！ セール初登場もあり、Web制作関連のKindle本がかなりお買い得です', '※本ページは、アフィリエイト広告を利用しています。 Amazonで、Kindle本 春のコンピュータ・IT書フェアが開催しています！ HTML/CSS/JavaScriptなどWeb制作の解説書をはじめ、デザインやディレ...記事の続きを読む']",0,0,3,0.208811,2024-03-25,496.7900,510.6300,496.6900,507.2300,4277036,2024-03-22,5.33,2024-03-26 10:11:32,151.26800000,2024-02-01,310.326,2022-01-01,8.00279982052121,2024-02-01,3.9,2024-02-29,4.48,2023-10-01,5760.935,2024-02-01,555127.0,226055766000,2162000000,47.62,1.853,34.13,None,None,4.48,43.76,0.241,0.368,0.157,0.324,19936000000,15441000000,10.49,-0.498,0.113,572.37,47.62,27.78,11.34,14.62,11.2,31.24,1.294,638.25,331.89,577.99,552.04,452546000,2023-12-01,USD,29779000000,11084000000,7141000000,7842000000,None,2224000000,20205000000,2030000000,1731000000,14981000000,2176000000,12805000000,701000000,None,701000000,1018000000,1223000000,13261000000,8251000000,314000000,11900000000,0,73000000,1376000000,446000000,3634000000,None,None,3634000000,2027000000,376000000,16518000000,28129000000,33346000000,0,455000000,2023-12-01,USD,4414000000,5048000000,634000000,49000000,1743000000,1740000000,889000000,2671000000,None,-28000000,None,28000000,None,89000000,None,326000000,1808000000,325000000,28000000,1483000000,1483000000,1836000000,2162000000,1483000000
20231229,1,"['Marshall Financial Group LLC Sells 138 Shares of Adobe Inc. (NASDAQ:ADBE)', 'Marshall Financial Group LLC reduced its holdings in Adobe Inc. (NASDAQ:ADBE – Free Report) by 3.1% during the third quarter, according to the company in its most recent 13F filing with the SEC. The fund owned 4,277 shares of the software company’s stock afte…']",0,0,3,0.213113,2023-12-29,596.0900,600.7500,592.9400,596.6000,1890231,2023-12-28,5.33,2023-12-30 10:11:01,141.02700000,2023-11-01,307.051,2022-01-01,8.00279982052121,2023-11-01,3.7,2023-11-30,16.07,2023-07-01,5642.697,2023-11-01,625140.0,271140258000,1862000000,50.51,2.214,36.3,0,0.0115,16.07,42.47,0.28,0.345,0.146,0.355,19409000000,15441000000,11.79,0.278,0.116,648.57,50.51,33.22,13.97,16.41,13.78,34.35,1.335,633.89,318.6,585.65,491.43,455300000,2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,None,1850000000,19847000000,2036000000,None,15134000000,2334000000,12800000000,915000000,None,915000000,1043000000,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000,1347000000,463000000,3633000000,None,None,3633000000,2571000000,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,None,-27000000,None,27000000,None,67000000,None,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000
20231224,0,0,0,0,1,0.366551,2023-12-22,600.8000,601.8600,596.0000,598.7500,1660631,2023-12-21,5.33,2023-12-25 10:11:01,142.36100000,2023-11-01,307.051,2022-01-01,8.00279982052121,2023-11-01,3.7,2023-11-30,16.07,2023-07-01,5642.697,2023-11-01,625140.0,273243750000,1862000000,50.74,2.211,36.3,0,0.0115,16.07,42.47,0.28,0.345,0.146,0.355,19409000000,15441000000,11.8,0.278,0.116,647.68,50.74,33.22,13.98,16.43,13.79,34.38,1.335,633.89,318.6,582.98,487.42,455300000,2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,None,1850000000,19847000000,2036000000,None,15134000000,2334000000,12800000000,915000000,None,915000000,1043000000,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000,1347000000,463000000,3633000000,None,None,3633000000,2571000000,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,None,-27000000,None,27000000,None,67000000,None,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000
