com_news_amount,com_title_list,ceo_news_amount,ceo_title_list,alpha_news_amount,alpha_news_sentiment_mean,date_global_quote,open_price,high_price,low_price,closing_price,volume,date_federal_funds_rate,federal_funds_rate,date_currency_exchange_rate,currency_exchange_rate,date_cpi,cpi,date_inflation,inflation,date_unenployment,unemployment,date_eps,eps,date_gdp,gdp,date_retail_sales,retail_sales,market_capitalization,ebitda,pe_ratio,peg_ratio,book_value,dividend_per_share,dividend_yield,eps.1,revenue_per_share_ttm,profit_margin,operating_margin_ttm,return_on_assets_ttm,return_on_equity_ttm,revenue_ttm,gross_profit_ttm,diluted_eps_ttm,quarterly_earnings_growth_yoy,quarterly_revenue_growth_yoy,analyst_target_price,trailing_pe,forward_pe,price_to_sales_ratio_ttm,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,week_high_52,week_low_52,day_moving_average_50,day_moving_average_200,shares_outstanding,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,fiscalDateEnding.1,reportedCurrency.1,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda.1,netIncome,com_title_finbert,ceo_title_finbert,date,mean_price,next_day_percentage,weekday,price_change_1,price_change_3,next_day_percentage_predicted,depot_value,buy_or_sell
10,"['Sepio Capital LP Acquires 1,036 Shares of Adobe Inc. (NASDAQ:ADBE)', 'Sepio Capital LP raised its holdings in Adobe Inc. (NASDAQ:ADBE – Free Report) by 11.5% during the 2nd quarter, according to its most recent filing with the Securities & Exchange Commission. The fund owned 10,006 shares of the software company’s stock after a…', 'Adobe Inc. (NASDAQ:ADBE) Shares Sold by Harvest Volatility Management LLC', 'Harvest Volatility Management LLC lessened its holdings in shares of Adobe Inc. (NASDAQ:ADBE – Free Report) by 14.1% during the second quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The firm owned 14,114 sh…', '純祿礇丹禺禳膠潟ヲｃ腟雁胸 (NHK, 11/7) 」若若ッ ...', '<ul> <li> 純祿礇丹禺禳膠潟ヲｃ腟雁胸 (NHK, 11/7) \r\n 」若若ッ篋冴障ユ羈査≪⒢ォ㍼#ｆ膃1＜活莟≦с \r\n <li> 純祿礇断肴㍾嘘WeWork句膓祉遵吾綵演ユ羈査茹ｃ肴； (鴻, 11/7) \r\n <li> 膠喝11ヤ鐚eWork Inc. 茵ゃ/ Regarding Recent Report on WeWork Inc. (WeWork Japan, 11/7) \r\n 茫膠喝潟ォ莟＜сユ活莟≦с上40ケ幻倶キ障活腓障＜筝ｃ若吾綵演障ユ遵鴻蕭腓冴篁倶キ膓鴻篋絲秕 \r\n <li> 絖③臂…', 'Mesencephalic trigeminal nucleus neurons with collaterals to both eyelid and masseter muscles shown by fluorescent double-labeling, revealing a potential mechanism for Marcus Gunn Syndrome', 'Poking palpebral conjunctiva evoked upper-eyelid retraction during ophthalmic surgery. Iatrogenic eyelid ptosis occurred if eyelid branch of lachrymal nerve was sectioned. Mesencephalic trigeminal nucleus (Vme) neurons were labeled when tracer injected into l…', 'Here are the top three performing S&P 500 stocks in last 30 years', 'Throughout history, the stock market has endured its fair share of turbulence and uncertainty. Yet, despite facing occasional bumps on … Continued\nThe post Here are the top three performing S&P 500 stocks in last 30 years appeared first on Finbold.', 'MediaValet Changes Date for Third Quarter 2023 Financial Results Video Conference Call', ""(marketscreener.com) MediaValet Inc. , a leading provider of enterprise digital asset management and creative operations software, today announced that the Company's management have decided to revise the third quarter 2023 reporting date to Tuesday, November …"", ""The World's Top 10 CXOs of 2023: Forbes' Picks for Outstanding Leadership"", ""Exceptional CXOs are the driving force behind a company's ability to provide outstanding customer experiences and remain competitive in today's dynamic business environment. Forbes' list of the top 10 CXOs of 2023 showcases leaders who have not only adapted t…"", 'ADOBE INC. (NASDAQ: ADBE) DEADLINE ALERT: Bernstein Liebhard LLP Reminds Investors of the Deadline to File a Lead Plaintiff Motion in a Securities Class Action Lawsuit Against Adobe Inc.', 'DEADLINE ALERT: Bernstein Liebhard LLP Reminds Adobe Inc. Investors of Upcoming Deadline ......', 'ADOBE ALERT: Bragar Eagel & Squire, P.C. Reminds Investors that a Class Action Lawsuit Has Been Filed Against Adobe Inc. and Encourages Investors to Contact the Firm', 'NEW YORK, Nov. 06, 2023 (GLOBE NEWSWIRE) -- Bragar Eagel & Squire, P.C., a nationally recognized stockholder rights law firm, reminds investors that a class action lawsuit has been filed against Adobe Inc. (“Adobe” or the “Company”) (NASDAQ: ADBE) in the Unit…', 'ROSEN, RECOGNIZED INVESTOR COUNSEL, Encourages Adobe Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action – ADBE', 'NEW YORK, Nov. 06, 2023 (GLOBE NEWSWIRE) -- WHY: Rosen Law Firm, a global investor rights law firm, announces the filing of a class action lawsuit on behalf of purchasers of common stock of Adobe Inc. (NASDAQ: ADBE) between July 23, 2021 and September 15, 202…']",2,"['Adobe CEO on Leadership, Innovation, and the Future of Technology | Stanford GSB #bigIdeas', 'Adobe CEO on Leadership, Innovation, and the Future of Technology | Stanford GSB In a thought-provoking dialogue, Shantanu Narayen, Chairman and CEO of Adobe, discusses his leadership journey, the value…\nThe post Adobe CEO on Leadership, Innovation, and the F…', ""The World's Top 10 CXOs of 2023: Forbes' Picks for Outstanding Leadership"", ""Exceptional CXOs are the driving force behind a company's ability to provide outstanding customer experiences and remain competitive in today's dynamic business environment. Forbes' list of the top 10 CXOs of 2023 showcases leaders who have not only adapted t…""]",11,0.1284465454545454,2023-11-07,568.81,589.0,568.81,585.2,3993621.0,2023-11-06,5.33,2023-11-08 16:51:01,150.751,2023-09-01,307.789,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-08-31,11.8,2023-07-01,5633.594,2023-09-01,592660.0,266441572000,1862000000,52.53,1.481,34.6,0.0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.14,0.26,0.103,569.7,52.53,22.22,8.89,10.99,9.13,22.68,1.324,589.0,317.87,537.79,448.09,455300000,2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,0.0,1850000000,19847000000,2036000000,0.0,15134000000,2334000000,12800000000,915000000,0.0,915000000,1043000000.0,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000.0,1347000000,463000000.0,3633000000,0.0,0.0,3633000000,2571000000.0,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,0.0,-27000000,0.0,27000000,0.0,67000000,0.0,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000,-0.1662129859129587,0.1623417258262634,2023-11-07,1.0,1.69671514218237,1,1.0,0.0,1.5668140589623984,1.0,1
3,"['Video Editing Software Market Growth to Hit 5.9% CAGR, Globally, by 2027 - Exclusive Report by The Insight Partners', 'The global video editing software market share worth $3.04 billion by 2027, at a growing CAGR of 5.9% from 2020 to 2027. The global video editing software market share worth $3.04 billion by 2027, at a growing CAGR of 5.9% from 2020 to 2027.', 'Demystifying The GenAI Marketscape: Shakers, Makers And Takers', 'GenAI has widespread use cases.', 'Postscript is gone, long live TrueType and OpenType', ""Postscript is all but gone, and today, newer font standards such as TrueType and OpenType rule the roost. Here's how we got from desktop PostScript in the early '80s to today.When the Mac first appeared in 1984 it radically changed the way print and type were…""]",1,"['The Future Of Work 50 2023', 'Forbes’ 2023 list of 50 leaders, executives, thinkers and teams rethinking the world of work at a time when everything—from the job market’s future to AI’s impact to a college degree’s value—feels more uncertain than ever.']",7,0.1796798571428571,2023-11-08,589.0,595.665,581.07,585.31,3079173.0,2023-11-07,5.33,2023-11-09 12:52:03,151.094,2023-09-01,307.789,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-08-31,11.8,2023-07-01,5633.594,2023-09-01,592660.0,266441572000,1862000000,52.53,1.481,34.6,0.0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.14,0.26,0.103,569.7,52.53,22.22,8.89,10.99,9.13,22.68,1.324,595.67,318.6,537.79,448.09,455300000,2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,0.0,1850000000,19847000000,2036000000,0.0,15134000000,2334000000,12800000000,915000000,0.0,915000000,1043000000.0,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000.0,1347000000,463000000.0,3633000000,0.0,0.0,3633000000,2571000000.0,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,0.0,-27000000,0.0,27000000,0.0,67000000,0.0,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000,0.0,0.0,2023-11-08,1.0169671514218237,-0.8258029939877787,2,1.0169671514218237,0.0,-0.21049480214985544,1.0159671514218238,-1
4,"['Global Audience Analytics Market to Reah $10 Billion by 2030: Increase in Social Media Activity and Need to Draw Qualitative Data Analysis Drives Focus onto Audience Analytics', 'Dublin, Nov. 09, 2023 (GLOBE NEWSWIRE) -- The ""Audience Analytics - Global Strategic Business Report"" report has been added to ResearchAndMarkets.com\'s offering.', ""Global Cloud Collaboration Market Driven by IT Industry's Growth, Set to Surpass $81.1 Billion by 2028"", 'Dublin, Nov. 09, 2023 (GLOBE NEWSWIRE) -- The ""Cloud Collaboration Market: Global Industry Trends, Share, Size, Growth, Opportunity and Forecast 2023-2028"" report has been added to ResearchAndMarkets.com\'s offering.', 'Global Application Server Market Size to Worth USD 64.15 Billion by 2032 | CAGR of 12.6%', 'The Global Application Server Market Size was valued at USD 19.58 Billion in 2022 and the Worldwide Application Server Market Size is expected to reach USD 64.15 Billion by 2032. According to a research report published by Spherical Insights & Consulting, Com…', 'How Ebikes Can Make Using Your Bike For Transportation Practical, Even Pleasurable', 'You are already doing your bit for a clean energy future — you are driving an electric car or truck. However, riding a bike, even an ebike, is even cleaner. You will use much less energy. Here’s how using an ebike can make using a bike for transportation not …']",0,0,3,0.0223956666666666,2023-11-09,587.51,590.04,576.34,577.74,2336580.0,2023-11-08,5.33,2023-11-10 13:43:01,151.439,2023-09-01,307.789,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-08-31,11.8,2023-07-01,5633.594,2023-09-01,592660.0,263045022000,1862000000,52.05,1.481,34.6,0.0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.1,0.26,0.103,569.7,52.05,22.22,8.89,10.99,9.13,22.68,1.324,595.67,318.6,539.79,450.31,455300000,2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,0.0,1850000000,19847000000,2036000000,0.0,15134000000,2334000000,12800000000,915000000,0.0,915000000,1043000000.0,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000.0,1347000000,463000000.0,3633000000,0.0,0.0,3633000000,2571000000.0,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,0.0,-27000000,0.0,27000000,0.0,67000000,0.0,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000,0.0,0.0,2023-11-09,1.0085690062375101,0.8672044878475393,3,0.9917419700601222,0.0,0.3425291914815373,1.0117680788296668,0
11,"['Adobe Positioned For Success With AI Integration And Expanding Partnerships, Says Analyst', 'BMO Capital Markets analyst Keith Bachman reiterated the Outperform rating on Adobe Inc. ADBE, raising the price target to $670 from $645. The analyst writes that Adobe is a market leader in its three core product categories: Creative Cloud, Document Cloud, a…', 'Kestra Private Wealth Services LLC Acquires 796 Shares of Adobe Inc. (NASDAQ:ADBE)', 'Kestra Private Wealth Services LLC raised its stake in shares of Adobe Inc. (NASDAQ:ADBE – Free Report) by 8.7% in the 2nd quarter, according to its most recent disclosure with the SEC. The firm owned 9,906 shares of the software company’s stock after purchas…', 'Adobe Inc. (NASDAQ:ADBE) Shares Sold by Smithfield Trust Co', 'Smithfield Trust Co reduced its position in Adobe Inc. (NASDAQ:ADBE – Free Report) by 1.5% during the 2nd quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The institutional investor owned 2,890 shares of the soft…', 'Vise Technologies Inc. Buys 713 Shares of Adobe Inc. (NASDAQ:ADBE)', 'Vise Technologies Inc. boosted its stake in Adobe Inc. (NASDAQ:ADBE – Free Report) by 116.3% during the 2nd quarter, according to the company in its most recent disclosure with the SEC. The firm owned 1,326 shares of the software company’s stock after acquiri…', 'Advisor OS LLC Has $1.03 Million Stock Holdings in Adobe Inc. (NASDAQ:ADBE)', 'Advisor OS LLC raised its stake in Adobe Inc. (NASDAQ:ADBE – Free Report) by 13.3% in the second quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The institutional investor owned 2,102 shares of the so…', 'Sound View Wealth Advisors Group LLC Sells 31 Shares of Adobe Inc. (NASDAQ:ADBE)', 'Sound View Wealth Advisors Group LLC decreased its holdings in shares of Adobe Inc. (NASDAQ:ADBE – Free Report) by 4.6% in the second quarter, according to the company in its most recent Form 13F filing with the Securities & Exchange Commission. The firm owne…', 'Adobe (NASDAQ:ADBE) Given “Overweight” Rating at Piper Sandler', 'Piper Sandler reaffirmed their overweight rating on shares of Adobe (NASDAQ:ADBE – Free Report) in a report published on Thursday morning, Benzinga reports. The brokerage currently has a $650.00 target price on the software company’s stock. ADBE has been the …', 'Asset Entities (NASDAQ:ASST) & Adobe (NASDAQ:ADBE) Financial Survey', 'Asset Entities (NASDAQ:ASST – Get Free Report) and Adobe (NASDAQ:ADBE – Get Free Report) are both business services companies, but which is the better stock? We will contrast the two businesses based on the strength of their dividends, valuation, risk, earnin…', 'K12 Education Market to Reach $525.7 Billion by 2031, Growing at 17.7% CAGR: states Allied Market Research', 'The global K12 education market is predicted to witness prominent growth due to the increasing use of learning analytics in the educational sector owing to the rapid technical advancements and the growing implementation of government programs to elevate the s…', 'Enterprise Collaboration Market to Reach $195.1 Billion, Globally, by 2032 at 15.2% CAGR: Allied Market Research', 'Adoption of cloud-based services to accelerate collaboration, growth in need for the project and task management solution, and growth in demand for real-time and remote collaboration tools are driving the growth of the global enterprise collaboration market. …', 'ADOBE INVESTOR DEADLINE APPROACHING: Faruqi & Faruqi Securities Litigation Partner James (Josh) Wilson Encourages Investors Who Suffered Losses In Adobe To Contact Him Directly To Discuss Their Options', 'If you purchased or acquired securities in Adobe between July 23, 2021 and September 15, 2022 and would like to discuss your legal rights, call Faruqi & Faruqi partner Josh Wilson directly at 877-247-4292 or 212-983-9330 (Ext. 1310). You may also click here f…']",0,0,8,0.2471944999999999,2023-11-10,580.49,598.135,576.005,597.22,3064510.0,2023-11-08,5.33,2023-11-11 20:41:01,151.512,2023-09-01,307.789,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-08-31,11.8,2023-07-01,5633.594,2023-09-01,592660.0,271914254000,1862000000,53.76,1.481,34.6,0.0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.11,0.26,0.103,569.7,53.76,22.22,8.89,10.99,9.13,22.68,1.324,598.13,318.6,540.43,451.4,455300000,2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,0.0,1850000000,19847000000,2036000000,0.0,15134000000,2334000000,12800000000,915000000,0.0,915000000,1043000000.0,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000.0,1347000000,463000000.0,3633000000,0.0,0.0,3633000000,2571000000.0,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,0.0,-27000000,0.0,27000000,0.0,67000000,0.0,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000,-0.2431088089942932,0.0,2023-11-10,1.0173153619226412,0.08631502859453022,4,1.0086720448784754,1.0173153619226412,1.7535559569684878,1.0151412566722324,1
1,"['Communications Content Coordinator', 'Requisition ID:58611 Title:Communications Content Coordinator Division:Arthrex, Inc. (US01) Location:Naples, FL\nArthrex, Inc. is a global medical device company and a leader in new product development ...']",0,0,2,0.116458,2023-11-11,583.6533333333333,596.8433333333334,578.4566666666667,594.9266666666667,2878043.6666666665,2023-11-08,5.33,2023-11-12 09:33:01,151.512,2023-09-01,307.789,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-08-31,11.8,2023-07-01,5633.594,2023-09-01,592660.0,271914254000,1862000000,53.76,1.481,34.6,0.0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.11,0.26,0.103,569.7,53.76,22.22,8.89,10.99,9.13,22.68,1.324,598.14,318.6,540.43,451.4,455300000,2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,0.0,1850000000,19847000000,2036000000,0.0,15134000000,2334000000,12800000000,915000000,0.0,915000000,1043000000.0,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000.0,1347000000,463000000.0,3633000000,0.0,0.0,3633000000,2571000000.0,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,0.0,-27000000,0.0,27000000,0.0,67000000,0.0,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000,0.3749590665102005,0.0,2023-11-11,1.018193457968181,0.08624059000457152,5,1.0008631502859453,1.001205846761759,1.4862488524442135,1.016017476138204,1
1,"['ADOBE ALERT: Bragar Eagel & Squire, P.C. Reminds Investors that a Class Action Lawsuit Has Been Filed Against Adobe Inc. and Encourages Investors to Contact the Firm', 'NEW YORK, Nov. 11, 2023 (GLOBE NEWSWIRE) -- Bragar Eagel & Squire, P.C., a nationally recognized stockholder rights law firm, reminds investors that a class action lawsuit has been filed against Adobe Inc. (“Adobe” or the “Company”) (NASDAQ: ADBE) in the Unit…']",0,0,1,-0.002413,2023-11-12,586.8166666666667,595.5516666666666,580.9083333333333,592.6333333333333,2691577.3333333335,2023-11-08,5.33,2023-11-13 08:56:01,151.807,2023-09-01,307.789,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-08-31,11.8,2023-07-01,5633.594,2023-09-01,592660.0,271914254000,1862000000,53.76,1.481,34.6,0.0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.11,0.26,0.103,569.7,53.76,22.22,8.89,10.99,9.13,22.68,1.324,598.14,318.6,541.19,452.56,455300000,2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,0.0,1850000000,19847000000,2036000000,0.0,15134000000,2334000000,12800000000,915000000,0.0,915000000,1043000000.0,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000.0,1347000000,463000000.0,3633000000,0.0,0.0,3633000000,2571000000.0,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,0.0,-27000000,0.0,27000000,0.0,67000000,0.0,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000,0.1259044334292411,0.2511594742536545,2023-11-12,1.019071554013721,0.08616627969659785,6,1.0008624059000457,1.0104133160063988,1.3495710490658817,1.0168936956041752,1
0,0,0,0,8,0.2044046249999999,2023-11-13,589.98,594.26,583.36,590.34,2505111.0,2023-11-10,5.33,2023-11-14 07:54:01,151.582,2023-09-01,307.789,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-08-31,11.8,2023-07-01,5633.594,2023-09-01,592660.0,271914254000,1862000000,53.76,1.481,34.6,0.0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.11,0.26,0.103,569.7,53.76,22.22,8.89,10.99,9.13,22.68,1.324,598.14,318.6,541.19,452.56,455300000,2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,0.0,1850000000,19847000000,2036000000,0.0,15134000000,2334000000,12800000000,915000000,0.0,915000000,1043000000.0,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000.0,1347000000,463000000.0,3633000000,0.0,0.0,3633000000,2571000000.0,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,0.0,-27000000,0.0,27000000,0.0,67000000,0.0,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000,0.1014212131500244,0.0,2023-11-13,1.0199496500592609,2.574068890641823,0,1.000861662796966,1.0025894508578355,0.690939132800856,1.0177699150701465,1
1,"['Adobe faces EU antitrust warning over Figma deal, sources say', ""(marketscreener.com) Adobe's $20\nbillion bid for cloud-based designer platform Figma is set to\nface an EU antitrust warning in the coming days, three people\nfamiliar with the matter said, a move that would ratchet up\npressure on the Photoshop maker to offer r…""]",0,0,10,0.2056445,2023-11-14,601.56,613.705,599.04,604.33,2884917.0,2023-11-13,5.33,2023-11-15 13:37:01,150.552,2023-10-01,307.671,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-08-31,11.8,2023-07-01,5633.594,2023-09-01,592660.0,275151454000,1862000000,54.35,1.481,34.6,0.0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.12,0.26,0.103,613.14,54.35,22.22,8.89,10.99,9.13,22.68,1.324,613.71,318.6,541.74,453.66,455300000,2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,0.0,1850000000,19847000000,2036000000,0.0,15134000000,2334000000,12800000000,915000000,0.0,915000000,1043000000.0,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000.0,1347000000,463000000.0,3633000000,0.0,0.0,3633000000,2571000000.0,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,0.0,-27000000,0.0,27000000,0.0,67000000,0.0,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000,-0.1490181485811869,0.0,2023-11-14,1.0462038567016463,-0.8601959369644363,1,1.0257406889064182,1.0275098985504783,-0.6074439294251073,1.042968013832279,-1
0,0,1,"['La Commission européenne devrait contester le rachat de Figma par Adobe', 'Le rachat de Figma par Adobe se complique. La Commission européenne estimerait en effet que l’acquisition nuira à la compétition, et s’apprêterait donc à épingler les deux sociétés. Un risque pour la compétition Adobe a annoncé son intention d’acquérir Figma …']",3,0.2149466666666667,2023-11-15,605.0,605.73,591.79,595.31,3088889.0,2023-11-14,5.33,2023-11-16 09:48:01,151.277,2023-10-01,307.671,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-08-31,11.8,2023-07-01,5633.594,2023-10-01,608839.0,275151454000,1862000000,54.35,1.481,34.6,0.0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.12,0.26,0.103,613.14,54.35,22.22,8.89,10.99,9.13,22.68,1.324,613.71,318.6,541.74,453.66,455300000,2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,0.0,1850000000,19847000000,2036000000,0.0,15134000000,2334000000,12800000000,915000000,0.0,915000000,1043000000.0,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000.0,1347000000,463000000.0,3633000000,0.0,0.0,3633000000,2571000000.0,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,0.0,-27000000,0.0,27000000,0.0,67000000,0.0,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000,0.0,0.0,2023-11-15,1.0372044536339335,-0.12135972942201034,2,0.9913980406303556,1.0177935489895624,-0.3601344816481933,1.037477928613182,-1
4,"['Global Marketing Automation Market Report 2023-2026: Focus on Key Trends - Integration of Artificial Intelligence, Personalized Marketing, Predictive Analytics, Chatbots, Multi-channel Marketing', 'Dublin, Nov. 16, 2023 (GLOBE NEWSWIRE) -- The ""Global Marketing Automation Market (by Deployment Type, Channel, Enterprise Size, Solution, Application, & Region): Insights & Forecast with Potential Impact of COVID-19 (2022-2026)"" report has been added to Rese…', 'Telecom Analytics Market Fuels Business Growth with 13.9% CAGR to 2033 | Future Market Insights, Inc.', 'Shaping Strategies for Business Growth in the Telecom Analytics Industry - The Global Telecom Analytics Market is on an Explosive Growth Trajectory, Projected to reach an US$ 22.91 billion from 2023 to 2033. Shaping Strategies for Business Growth in the Telec…', 'アドビ、画像生成AI：Adobe Firefly Image 2 Modelの一般提供を開始', '[アドビ株式会社]\nアドビ株式会社（本社：東京都品川区、社長：クレア ダーレイ、以下 アドビ）は本日、クリエイターの祭典である「Adobe MAX Japan 2023」を東京ビッグサイトで開催しました。このイベント開催にあたり、以下の内...', 'How to Start a Successful Garage Business: Turning Passion into Profit', ""Looking for garage business ideas? Some of the world's most successful businesses started in a garage. Here are some ideas for you to consider.""]",0,0,3,0.238221,2023-11-16,595.45,605.27,592.14,602.06,2040415.0,2023-11-15,5.33,2023-11-17 15:01:02,149.606,2023-10-01,307.671,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-08-31,11.8,2023-07-01,5633.594,2023-10-01,608839.0,274117919000,1862000000,54.04,1.481,34.6,0.0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.14,0.26,0.103,566.76,54.04,22.22,8.89,10.99,9.13,22.68,1.324,613.71,318.6,544.02,457.08,455300000,2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,0.0,1850000000,19847000000,2036000000,0.0,15134000000,2334000000,12800000000,915000000,0.0,915000000,1043000000.0,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000.0,1347000000,463000000.0,3633000000,0.0,0.0,3633000000,2571000000.0,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,0.0,-27000000,0.0,27000000,0.0,67000000,0.0,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000,0.0,0.0,2023-11-16,1.0359457051154504,0.49604579693685036,3,0.9987864027057799,1.0156831810817917,0.8301154809231303,1.0361639140016086,1
