date_collection,amount_news_name,com_title_list,amount_news_ceo,ceo_title_list,alpha_news_amount,news_sentiment_mean,date_global_quote,open,high,low,close,volume,date_federal_funds_rate,federal_funds_rate,date_currency_exchange_rate,currency_exchange_rate,date_cpi,cpi,date_inflation,inflation,date_unenployment,unemployment,date_gdp,real_gdp,date_retail_sales,retail_sales,market_capitalization,ebitda,pe_ratio,peg_ratio,dividend_per_share,dividend_yield,eps,revenue_per_share_ttm,profit_margin,operating_margin_ttm,return_on_assets_ttm,return_on_equity_ttm,revenue_ttm,gross_profit_ttm,diluted_eps_ttm,quarterly_earnings_growth_yoy,quarterly_revenue_growth_yoy,analyst_target_price,trailing_pe,forward_pe,price_to_sales_ratio_ttm,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,week_high_52,week_low_52,day_moving_average_50,day_moving_average_200,shares_outstanding,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,fiscalDateEnding.1,reportedCurrency.1,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda.1,netIncome,sentiment_name,sentiment_ceo
20231119,1,"['影音創作者福音，Adobe AI 音訊工具「Project Sound Lift」亮相', '對於影音創作者來說，音訊品質差是過去一直面臨的挑戰；無論是業餘愛好者還是專業電影製片人，都需要解決由風力干擾、麥克風位置不理想、人群噪音和其他聲音干擾所造成的音訊問題，其中任何一項的出現都可能導致影片無法使用。 Adobe 就在近期展示了其正在研發的最新技術「Project Sound Lift」，...']",0,0,2,0.0903375,2023-11-17,602.07,605.0499,597.02,602.66,1969358,2023-11-16,5.33,2023-11-20 10:11:01,148.415,2023-10-01,307.671,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-07-01,5633.594,2023-10-01,608839.0,274391089000,1862000000,54.05,1.481,0.0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.15,0.26,0.103,568.04,54.05,22.22,8.89,10.99,9.13,22.68,1.324,613.71,318.6,544.87,458.13,455300000,2023-09-01,USD,29090000000,10410000000,,1850000000,19847000000,2036000000,,15134000000,2334000000,12800000000,915000000,,915000000,13314000000,8334000000,314000000,10963000000,0,74000000.0,1347000000,463000000.0,3633000000,,,3633000000,2571000000.0,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,,-27000000,,27000000,,67000000,,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000,0.05057132840156555,0.5
20240423,5,"['Adobe Introduces Firefly Image 3 Foundation Model to Take Creative Exploration and Ideation to New Heights', '(marketscreener.com) \n\nAdobe Firefly Image 3 Foundation Model delivers stunning advancements in photorealistic quality, styling capabilities detail and accuracy along with greater variety\n\n\n\nSignificant advancements in speed of generation make the ideation an…', 'Adobe Charts the Future of Creativity and AI at MAX London', '(marketscreener.com) \n\nAdobe releases new Photoshop with new advanced generative AI features including Generate Image and Generative Fill with Reference Image\n\n\n\nDebut of Firefly Image 3 Foundation Model will deliver more photorealistic output, greater detail…', 'New Adobe Photoshop with Advanced Generative Fill and Generate Image Brings New Superpowers to All', '(marketscreener.com) \n\nGenerative Fill is even more powerful with all-new Reference Image to jumpstart creative inspiration and deliver more control to one of Photoshop’s most popular features\n\n\n\nNew Generate Image capabilities directly in workflows bring ide…', 'Zscaler Research Finds 60% Increase in AI-Driven Phishing Attacks', 'Zscaler Research Finds 60% Increase in AI-Driven Phishing Attacks', 'Zscaler Research Finds 60% Increase in AI-Driven Phishing Attacks', 'Annual ThreatLabz Phishing Report Unveils Rapidly Evolving Phishing Landscape, Underlining the Need to Adopt a Zero Trust Architecture Annual ThreatLabz Phishing Report Unveils Rapidly Evolving Phishing Landscape, Underlining the Need to Adopt a Zero Trust Ar…']",0,0,6,0.2158763333333333,2024-04-23,469.72,474.81,467.83,472.9,2205836,2024-04-22,5.33,2024-04-24 09:11:02,154.875,2024-03-01,312.332,2022-01-01,8.00279982052121,2024-03-01,3.8,2023-10-01,5761.525,2024-03-01,611862.0,209166729000,1079000000,44.64,1.759,,,4.48,43.76,0.241,0.368,0.157,0.324,19936000000,15441000000,10.46,-0.498,0.113,621.87,44.64,26.39,10.65,13.74,10.52,29.33,1.272,638.25,331.89,527.95,553.09,448000000,2024-03-01,USD,28751000000,10008000000,,2057000000,19754000000,1988000000,,14825000000,2022000000,12803000000,566000000,,566000000,13291000000,9537000000,300000000,12220000000,1497000000,,1616000000,451000000.0,2138000000,1497000000.0,,2138000000,,435000000,15460000000,30109000000,33809000000,0,453000000,2024-03-01,USD,4592000000,5182000000,590000000,42000000,907000000,1704000000,939000000,3685000000,,-27000000,,27000000,,70000000,,84000000,968000000,348000000,27000000,620000000,628000000,995000000,1079000000,620000000,0.48328832785288495,-0.49544447660446167
20240306,0,0,0,0,4,0.2301697499999999,2024-03-06,548.0,550.64,538.15,543.09,3209766,2024-03-05,5.33,2024-03-07 10:11:02,147.953,2024-01-01,308.417,2022-01-01,8.00279982052121,2024-01-01,3.7,2023-10-01,5760.935,2024-01-01,554784.0,246565159000,2162000000,46.09,2.029,,,0.0,42.46,0.28,0.345,0.146,0.355,19409000000,15441000000,11.82,0.278,0.116,653.38,46.09,30.4,12.7,14.93,12.51,31.19,1.294,638.25,323.29,591.71,542.2,452546000,2023-12-01,USD,29779000000,11084000000,,2224000000,20205000000,2030000000,1731000000.0,14981000000,2176000000,12805000000,701000000,,701000000,13261000000,8251000000,314000000,11900000000,0,73000000.0,1376000000,446000000.0,3634000000,,,3634000000,2027000000.0,376000000,16518000000,28129000000,33346000000,0,455000000,2023-12-01,USD,4414000000,5048000000,634000000,49000000,1743000000,1740000000,889000000,2671000000,,-28000000,,28000000,,89000000,,326000000,1808000000,325000000,28000000,1483000000,1483000000,1836000000,2162000000,1483000000,0.23851530253887177,0.0
20240508,1,"['OpenAI announces its new tool that can detect deepfake images', 'As fears mount over the proliferation of deepfake images that could influence this year’s many elections, OpenAI today announced the creation of a new tool to detect if an image was made with its own DALL-E AI image generator. Unfortunately, OpenAI’s deepfake…']",0,0,1,0.151709,2024-05-08,489.97,495.81,486.92,488.1,2165021,2024-05-07,5.33,2024-05-09 04:00:01,155.549,2024-03-01,312.332,2022-01-01,8.00279982052121,2024-04-01,3.9,2024-01-01,5575.067,2024-03-01,611862.0,220536963000,1079000000,46.93,1.759,,,4.48,43.76,0.241,0.368,0.157,0.324,19936000000,15441000000,10.49,-0.498,0.113,621.87,46.93,26.39,10.65,13.74,10.52,29.33,1.272,638.25,331.89,506.75,551.14,448000000,2024-03-01,USD,28751000000,10008000000,,2057000000,19754000000,1988000000,,14825000000,2022000000,12803000000,566000000,,566000000,13291000000,9537000000,300000000,12220000000,1497000000,1570000000.0,1616000000,451000000.0,2138000000,1497000000.0,,2138000000,1692000000.0,435000000,15460000000,30109000000,33809000000,0,453000000,2024-03-01,USD,4592000000,5182000000,590000000,42000000,907000000,1704000000,939000000,3685000000,,-27000000,,27000000,,70000000,,84000000,968000000,348000000,27000000,620000000,628000000,995000000,1079000000,620000000,0.27114101160656323,0.0
20231109,4,"['Global Audience Analytics Market to Reah $10 Billion by 2030: Increase in Social Media Activity and Need to Draw Qualitative Data Analysis Drives Focus onto Audience Analytics', 'Dublin, Nov. 09, 2023 (GLOBE NEWSWIRE) -- The ""Audience Analytics - Global Strategic Business Report"" report has been added to ResearchAndMarkets.com\'s offering.', ""Global Cloud Collaboration Market Driven by IT Industry's Growth, Set to Surpass $81.1 Billion by 2028"", 'Dublin, Nov. 09, 2023 (GLOBE NEWSWIRE) -- The ""Cloud Collaboration Market: Global Industry Trends, Share, Size, Growth, Opportunity and Forecast 2023-2028"" report has been added to ResearchAndMarkets.com\'s offering.', 'Global Application Server Market Size to Worth USD 64.15 Billion by 2032 | CAGR of 12.6%', 'The Global Application Server Market Size was valued at USD 19.58 Billion in 2022 and the Worldwide Application Server Market Size is expected to reach USD 64.15 Billion by 2032. According to a research report published by Spherical Insights & Consulting, Com…', 'How Ebikes Can Make Using Your Bike For Transportation Practical, Even Pleasurable', 'You are already doing your bit for a clean energy future — you are driving an electric car or truck. However, riding a bike, even an ebike, is even cleaner. You will use much less energy. Here’s how using an ebike can make using a bike for transportation not …']",0,0,3,0.0223956666666666,2023-11-09,587.51,590.04,576.34,577.74,2336580,2023-11-08,5.33,2023-11-10 13:43:01,151.439,2023-09-01,307.789,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-07-01,5633.594,2023-09-01,592660.0,263045022000,1862000000,52.05,1.481,0.0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.1,0.26,0.103,569.7,52.05,22.22,8.89,10.99,9.13,22.68,1.324,595.67,318.6,539.79,450.31,455300000,2023-09-01,USD,29090000000,10410000000,,1850000000,19847000000,2036000000,,15134000000,2334000000,12800000000,915000000,,915000000,13314000000,8334000000,314000000,10963000000,0,74000000.0,1347000000,463000000.0,3633000000,,,3633000000,2571000000.0,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,,-27000000,,27000000,,67000000,,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000,0.0,0.0
20240513,0,0,0,0,0,0.0,2024-05-13,486.24,490.1599,481.71,483.11,2458192,2024-05-10,5.33,2024-05-14 04:00:01,156.408,2024-03-01,312.332,2022-01-01,8.00279982052121,2024-04-01,3.9,2024-01-01,5575.067,2024-03-01,611862.0,216065917000,1079000000,46.06,1.759,,,4.48,43.76,0.241,0.368,0.157,0.324,19936000000,15441000000,10.47,-0.498,0.113,621.87,46.06,26.39,10.65,13.74,10.52,29.33,1.281,638.25,341.17,502.52,550.58,448000000,2024-03-01,USD,28751000000,10008000000,,2057000000,19754000000,1988000000,,14825000000,2022000000,12803000000,566000000,,566000000,13291000000,9537000000,300000000,12220000000,1497000000,,1616000000,,2138000000,,,2138000000,,435000000,15460000000,30109000000,33809000000,0,453000000,2024-03-01,USD,4592000000,5182000000,590000000,42000000,907000000,1704000000,939000000,3685000000,,-27000000,,27000000,,70000000,,84000000,968000000,348000000,27000000,620000000,628000000,995000000,1079000000,620000000,0.0,0.0
20240221,3,"['魚に放射能マーク…画像販売サイト、「Fukushima」検索で表示。記者の指摘にサイト側は', 'イメージ写真：ある日の海（福島県いわき市）合わせて読みたい＞＞オイシックス会長が「放射能汚染水」。会社が過去にも複数回注意。福島第一原発の処理水巡り\r\nインターネット上で画像の売買ができる「オンライン画像マーケットサイト」に、福島県への差別や偏見を助長するイメージ画像が出回っていることがわかった。\r\n一部の画像はハフポスト日本版の指摘後に表示されなくなったが、サイトで「Fukushima」や「Fukushima sea」と検索すると、福島の海や魚が放射能汚染されているかのような画像が複数ヒットする。\r\n「福島」と…', 'Microsoft Exchange flaw CVE-2024-21410 could impact up to 97,000 servers', 'Researchers from Shadowserver Foundation identified roughly 28,000 internet-facing Microsoft Exchange servers vulnerable to CVE-2024-21410. The vulnerability CVE-2024-21410 is a bypass vulnerability that can be exploited by an attacker to bypass the SmartScre…', 'アドビ株式会社アドビ、Acrobat ReaderとAcrobatに「AI Assistant」を搭載\u3000数兆のPDFに対話型AI体験を提供', '・AcrobatのLiquid ModeをベースにしたAI Assistantのベータ版は、Acrobat ReaderとAcrobatの新機能によりドキュメントのインテリジェンスを拡張・消費と作成のためのデジタルドキュメント体験を生成AIにより変革するアドビの第一歩・Acrobat ReaderおよびAcrobatをご利用のお客様は、AI Assistantのベータ版が終了した...']",0,0,1,0.200401,2024-02-21,539.76,542.5699,529.3675,538.52,4493535,2024-02-20,5.33,2024-02-22 10:11:01,150.187,2024-01-01,308.417,2022-01-01,8.00279982052121,2024-01-01,3.7,2023-10-01,5769.95,2024-01-01,554784.0,244943307000,2162000000,45.89,2.249,,,16.07,42.46,0.28,0.345,0.146,0.355,19409000000,15441000000,11.81,0.278,0.116,652.57,45.89,33.78,12.62,16.53,13.88,34.6,1.335,638.25,318.6,602.42,531.67,452000000,2023-12-01,USD,29779000000,11084000000,,2224000000,20205000000,2030000000,1731000000.0,14981000000,2176000000,12805000000,701000000,,701000000,13261000000,8251000000,314000000,11900000000,0,73000000.0,1376000000,446000000.0,3634000000,,,3634000000,2027000000.0,376000000,16518000000,28129000000,33346000000,0,455000000,2023-12-01,USD,4414000000,5048000000,634000000,49000000,1743000000,1740000000,889000000,2671000000,,-28000000,,28000000,,89000000,,326000000,1808000000,325000000,28000000,1483000000,1483000000,1836000000,2162000000,1483000000,0.0,0.0
20240107,5,"['A cyber attack hit the Beirut International Airport', 'A cyber attack hit the Beirut International Airport, Rafic Hariri (Lebanon), threat actors breached the Flight Information Display System (FIDS). Threat actors hit the Beirut International Airport Rafic Hariri in Lebanon and breached the Flight Information Di…', 'AMF Tjanstepension AB Sells 24,897 Shares of Adobe Inc. (NASDAQ:ADBE)', 'AMF Tjanstepension AB trimmed its holdings in shares of Adobe Inc. (NASDAQ:ADBE – Free Report) by 15.4% in the 3rd quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission. The fund owned 136,756 shares …', 'Pennsylvania Capital Management Inc. ADV Buys 24 Shares of Adobe Inc. (NASDAQ:ADBE)', 'Pennsylvania Capital Management Inc. ADV raised its holdings in Adobe Inc. (NASDAQ:ADBE – Free Report) by 3.8% in the 3rd quarter, according to the company in its most recent 13F filing with the SEC. The fund owned 652 shares of the software company’s stock a…', 'Acer Expands SpatialLabs Stereoscopic 3D Portfolio with New Laptop and Gaming Monitor', 'Acer Expands SpatialLabs Stereoscopic 3D Portfolio with New Laptop and Gaming Monitor           PR Newswire         The Aspire 3D 15 SpatialLabs Edition Laptop delivers captivating 3D content for entertainment, while the Predator SpatialLabs View 27 ga...', 'Security Affairs newsletter Round 453 by Pierluigi Paganini – INTERNATIONAL EDITION', 'A new round of the weekly SecurityAffairs newsletter arrived! Every week the best security articles from Security Affairs are free for you in your email box. Enjoy a new round of the weekly SecurityAffairs newsletter, including the international press. Expert…']",2,"['AMF Tjanstepension AB Sells 24,897 Shares of Adobe Inc. (NASDAQ:ADBE)', 'AMF Tjanstepension AB trimmed its holdings in shares of Adobe Inc. (NASDAQ:ADBE – Free Report) by 15.4% in the 3rd quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission. The fund owned 136,756 shares …', 'Pennsylvania Capital Management Inc. ADV Buys 24 Shares of Adobe Inc. (NASDAQ:ADBE)', 'Pennsylvania Capital Management Inc. ADV raised its holdings in Adobe Inc. (NASDAQ:ADBE – Free Report) by 3.8% in the 3rd quarter, according to the company in its most recent 13F filing with the SEC. The fund owned 652 shares of the software company’s stock a…']",0,0.0,2024-01-05,563.5,569.52,563.34,564.6,1917290,2024-01-04,5.33,2024-01-08 19:35:01,144.079,2023-11-01,307.051,2022-01-01,8.00279982052121,2023-12-01,3.7,2023-07-01,5642.697,2023-11-01,625140.0,257062371000,1862000000,47.85,2.099,0.0,0.0115,16.07,42.47,0.28,0.345,0.146,0.355,19409000000,15441000000,11.8,0.278,0.116,650.35,47.85,31.45,13.24,15.56,13.05,32.54,1.33,633.89,318.6,589.27,498.23,455300000,2023-09-01,USD,29090000000,10410000000,,1850000000,19847000000,2036000000,,15134000000,2334000000,12800000000,915000000,,915000000,13314000000,8334000000,314000000,10963000000,0,74000000.0,1347000000,463000000.0,3633000000,,,3633000000,2571000000.0,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,,-27000000,,27000000,,67000000,,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000,-0.9881899058818817,0.0
20240316,0,0,0,0,2,-0.0619134999999999,2024-03-15,499.64,503.1263,485.0,492.46,19580838,2024-03-14,5.33,2024-03-17 10:11:01,149.033,2024-02-01,310.326,2022-01-01,8.00279982052121,2024-02-01,3.9,2023-10-01,5760.935,2024-02-01,555127.0,222860788000,2162000000,41.7,1.833,,,4.48,43.76,0.241,0.368,0.157,0.324,19936000000,15441000000,11.81,-0.498,0.113,652.28,41.7,27.47,11.18,13.49,11.28,28.13,1.294,638.25,331.89,584.48,549.96,452546000,2023-12-01,USD,29779000000,11084000000,,2224000000,20205000000,2030000000,1731000000.0,14981000000,2176000000,12805000000,701000000,,701000000,13261000000,8251000000,314000000,11900000000,0,73000000.0,1376000000,446000000.0,3634000000,,,3634000000,2027000000.0,376000000,16518000000,28129000000,33346000000,0,455000000,2023-12-01,USD,4414000000,5048000000,634000000,49000000,1743000000,1740000000,889000000,2671000000,,-28000000,,28000000,,89000000,,326000000,1808000000,325000000,28000000,1483000000,1483000000,1836000000,2162000000,1483000000,0.0,0.0
20231111,1,"['Communications Content Coordinator', 'Requisition ID:58611 Title:Communications Content Coordinator Division:Arthrex, Inc. (US01) Location:Naples, FL\nArthrex, Inc. is a global medical device company and a leader in new product development ...']",0,0,2,0.116458,2023-11-10,580.49,598.135,576.005,597.22,3064510,2023-11-08,5.33,2023-11-12 09:33:01,151.512,2023-09-01,307.789,2022-01-01,8.00279982052117,2023-10-01,3.9,2023-07-01,5633.594,2023-09-01,592660.0,271914254000,1862000000,53.76,1.481,0.0,0.0115,11.8,41.11,0.271,0.347,0.144,0.34,18886001000,15441000000,11.11,0.26,0.103,569.7,53.76,22.22,8.89,10.99,9.13,22.68,1.324,598.14,318.6,540.43,451.4,455300000,2023-09-01,USD,29090000000,10410000000,,1850000000,19847000000,2036000000,,15134000000,2334000000,12800000000,915000000,,915000000,13314000000,8334000000,314000000,10963000000,0,74000000.0,1347000000,463000000.0,3633000000,,,3633000000,2571000000.0,352000000,15776000000,27146000000,32012000000,0,456000000,2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,,-27000000,,27000000,,67000000,,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000,0.3749590665102005,0.0
