alpha_news_amount,amount_news_ceo,analyst_target_price,beta,close,cpi,currency_exchange_rate,day_moving_average_200,day_moving_average_50,diluted_eps_ttm,eps,ev_to_ebitda,ev_to_revenue,forward_pe,high,low,market_capitalization,mean_price,news_sentiment_mean,open,pe_ratio,peg_ratio,price_change_1,price_change_3,price_to_book_ratio,price_to_sales_ratio_ttm,real_gdp,retail_sales,sentiment_ceo,sentiment_name,trailing_pe,volume,week_high_52,week_low_52,weekday,target
11,2,569.7,1.324,585.2,307.789,150.751,448.09,537.79,11.14,11.8,22.68,9.13,22.22,589.0,568.81,266441572000,577.9549999999999,0.1284465454545454,568.81,52.53,1.481,1.0,0.0,10.99,8.89,5633.594,592660.0,0.1623417258262634,-0.1662129859129587,52.53,3993621,589.0,317.87,1,1.69671514218237
7,1,569.7,1.324,585.31,307.789,151.094,448.09,537.79,11.14,11.8,22.68,9.13,22.22,595.665,581.07,266441572000,587.76125,0.1796798571428571,589.0,52.53,1.481,1.0169671514218237,0.0,10.99,8.89,5633.594,592660.0,0.0,0.0,52.53,3079173,595.67,318.6,2,-0.8258029939877787
3,0,569.7,1.324,577.74,307.789,151.439,450.31,539.79,11.1,11.8,22.68,9.13,22.22,590.04,576.34,263045022000,582.9075,0.0223956666666666,587.51,52.05,1.481,0.9917419700601222,0.0,10.99,8.89,5633.594,592660.0,0.0,0.0,52.05,2336580,595.67,318.6,3,0.8672044878475393
8,0,569.7,1.324,597.22,307.789,151.512,451.4,540.43,11.11,11.8,22.68,9.13,22.22,598.135,576.005,271914254000,587.9625,0.2471944999999999,580.49,53.76,1.481,1.0086720448784754,1.0173153619226412,10.99,8.89,5633.594,592660.0,0.0,-0.2431088089942932,53.76,3064510,598.13,318.6,4,0.0
2,0,569.7,1.324,597.22,307.789,151.512,451.4,540.43,11.11,11.8,22.68,9.13,22.22,598.135,576.005,271914254000,587.9625,0.116458,580.49,53.76,1.481,1.0,1.0003424009323514,10.99,8.89,5633.594,592660.0,0.0,0.3749590665102005,53.76,3064510,598.14,318.6,5,0.0
1,0,569.7,1.324,597.22,307.789,151.807,452.56,541.19,11.11,11.8,22.68,9.13,22.22,598.135,576.005,271914254000,587.9625,-0.002413,580.49,53.76,1.481,1.0,1.0086720448784754,10.99,8.89,5633.594,592660.0,0.2511594742536545,0.1259044334292411,53.76,3064510,598.14,318.6,6,0.25894508578354625
8,0,569.7,1.324,590.34,307.789,151.582,452.56,541.19,11.11,11.8,22.68,9.13,22.22,594.26,583.36,271914254000,589.485,0.2044046249999999,589.98,53.76,1.481,1.0025894508578355,1.0025894508578355,10.99,8.89,5633.594,592660.0,0.0,0.1014212131500244,53.76,2505111,598.14,318.6,0,2.574068890641823
10,0,613.14,1.324,604.33,307.671,150.552,453.66,541.74,11.12,11.8,22.68,9.13,22.22,613.705,599.04,275151454000,604.6587499999999,0.2056445,601.56,54.35,1.481,1.0257406889064182,1.0283967940132235,10.99,8.89,5633.594,592660.0,0.0,-0.1490181485811869,54.35,2884917,613.71,318.6,1,-0.8601959369644363
3,1,613.14,1.324,595.31,307.671,151.277,453.66,541.74,11.12,11.8,22.68,9.13,22.22,605.73,591.79,275151454000,599.4575,0.2149466666666667,605.0,54.35,1.481,0.9913980406303556,1.0195505665752493,10.99,8.89,5633.594,608839.0,0.0,0.0,54.35,3088889,613.71,318.6,2,-0.12135972942201034
3,0,566.76,1.324,602.06,307.671,149.606,457.08,544.02,11.14,11.8,22.68,9.13,22.22,605.27,592.14,274117919000,598.73,0.238221,595.45,54.04,1.481,0.9987864027057799,1.0156831810817917,10.99,8.89,5633.594,608839.0,0.0,0.0,54.04,2040415,613.71,318.6,3,0.49604579693685036
4,0,616.54,1.324,602.66,307.671,149.639,458.13,544.87,11.15,11.8,22.68,9.13,22.22,605.0499,597.02,274391089000,601.699975,0.15070275,602.07,54.05,1.481,1.0049604579693685,0.9951067027476242,10.99,8.89,5633.594,608839.0,0.07277878622214,0.04851919081476,54.05,1969358,613.71,318.6,4,0.0
2,1,616.54,1.324,602.66,307.671,149.639,458.13,544.87,11.15,11.8,22.68,9.13,22.22,605.0499,597.02,274391089000,601.699975,0.1536565,602.07,54.05,1.481,1.0,1.0037408406767787,10.99,8.89,5633.594,608839.0,0.0,0.0013864288727442,54.05,1969358,613.71,318.6,5,0.0
2,0,568.04,1.324,602.66,307.671,148.415,458.13,544.87,11.15,11.8,22.68,9.13,22.22,605.0499,597.02,274391089000,601.699975,0.0903375,602.07,54.05,1.481,1.0,1.0049604579693685,10.99,8.89,5633.594,608839.0,0.5,0.0505713284015655,54.05,1969358,613.71,318.6,6,1.2427331412137699
5,0,616.54,1.324,612.7,307.671,147.706,458.13,544.87,11.15,11.8,22.68,9.13,22.22,614.2,604.5,274391089000,609.1775,0.1265586,605.31,54.05,1.481,1.0124273314121377,1.0124273314121377,10.99,8.89,5633.594,608839.0,0.0,0.0,54.05,2394373,614.2,318.6,0,0.30800136249287124
